id, x, y, freq, label
0, -50.346706, -33.685738, 2144, seattle
1, -49.901253, -33.890118, 2011, gay
2, -49.280010, -29.433357, 1030, would
3, -47.056583, -32.270691, 803, one
4, -50.091774, -29.249088, 609, new
5, -47.820755, -29.742020, 598, city
6, -54.041008, -30.190968, 500, aids
7, -51.885643, -29.457756, 493, could
8, -42.994781, -36.461441, 478, first
9, -51.824585, -28.983065, 469, said
10, -53.204956, -29.703876, 468, also
11, -53.287376, -31.878126, 465, times
12, -47.954323, -34.264992, 433, men
13, -51.066910, -28.893490, 434, two
14, -49.928627, -27.347170, 406, state
15, -52.051937, -30.329876, 317, women
16, -54.333092, -30.068949, 409, see
17, -52.468365, -29.058496, 404, police
18, -49.748627, -27.122852, 386, washington
19, -49.650166, -33.701828, 629, lesbian
20, -47.235161, -32.454288, 306, people
21, -52.121933, -29.246531, 339, even
22, -53.552731, -31.869875, 339, news
23, -47.842972, -29.470112, 0, gays
24, -46.690487, -30.065819, 0, lesbians
25, -46.450123, -32.944275, 286, time
26, -51.946430, -29.527178, 293, homosexuals
27, -54.197250, -29.587904, 245, sex
28, -52.030457, -29.214914, 265, like
29, -43.812138, -36.041203, 274, years
30, -49.899315, -27.789524, 267, law
31, -51.395187, -31.383030, 254, rights
32, -49.400410, -33.508305, 247, community
33, -53.600079, -29.379351, 229, church
34, -46.570698, -33.778759, 255, later
35, -55.099026, -29.054909, 249, university
36, -53.221004, -28.119457, 234, hill
37, -54.083073, -29.805004, 190, farmer
38, -40.929600, -31.350294, 243, life
39, -48.916798, -30.496103, 223, group
40, -50.778934, -29.689930, 236, public
41, -55.058929, -29.835068, 237, sexual
42, -49.730419, -29.755424, 227, another
43, -51.698418, -28.882858, 183, three
44, -39.947975, -39.335064, 220, told
45, -55.156670, -29.480417, 216, court
46, -54.331985, -30.323227, 217, may
47, -53.317383, -32.125191, 56, post
48, -54.632492, -30.597729, 205, march
49, -50.035351, -29.566833, 210, still
50, -46.152489, -33.593960, 195, man
51, -53.280437, -29.468756, 199, ing
52, -51.560860, -29.485111, 192, called
53, -54.479107, -30.224388, 179, northwest
54, -47.102497, -32.032513, 186, way
55, -49.859299, -29.792402, 185, homosexual
56, -53.733883, -29.683281, 175, well
57, -49.989220, -29.622837, 183, became
58, -51.081631, -33.498844, 32, intelligencer
59, -48.618069, -31.053831, 148, brydon
60, -46.666718, -33.037582, 138, year
61, -50.683434, -32.683205, 179, june
62, -49.880680, -29.829853, 177, began
63, -52.713825, -29.588551, 178, political
64, -36.262508, -38.653599, 175, dorian
65, -53.457546, -29.092693, 169, health
66, -43.082684, -36.079845, 163, case
67, -45.583435, -33.189247, 167, wanted
68, -51.067650, -27.946241, 138, king
69, -49.919132, -29.191675, 163, catholic
70, -44.873444, -33.677979, 161, become
71, -36.729595, -42.396744, 161, civil
72, -45.226768, -33.106934, 157, members
73, -46.429199, -33.113216, 123, old
74, -40.891941, -31.384731, 159, civic
75, -50.136829, -29.505533, 155, made
76, -44.811943, -33.680779, 157, many
77, -46.520130, -32.582294, 152, seemed
78, -49.577568, -30.023674, 143, part
79, -50.261608, -29.548325, 120, cal
80, -41.342491, -38.388451, 143, center
81, -49.409821, -28.781231, 136, society
82, -54.858078, -29.868814, 146, john
83, -43.367458, -34.030415, 135, council
84, -51.066441, -30.781258, 143, bill
85, -43.385498, -35.116329, 144, came
86, -45.866566, -31.955765, 125, service
87, -49.809368, -28.184568, 142, sodomy
88, -40.886272, -31.383011, 142, claiming
89, -46.380611, -31.569489, 140, initiative
90, -53.646317, -29.677435, 40, e
91, -41.396294, -36.411896, 137, example
92, -41.850830, -38.283352, 135, history
93, -46.421383, -32.540585, 135, much
94, -45.433937, -33.481327, 137, get
95, -37.443787, -41.412312, 124, county
96, -43.826023, -35.083096, 133, house
97, -45.417461, -32.480408, 134, among
98, -39.367722, -37.632389, 131, went
99, -43.160728, -34.910088, 127, bar
100, -33.212982, -43.757389, 129, capitol
101, -32.810566, -41.568222, 130, activists
102, -41.383221, -35.142658, 127, dance
103, -52.277538, -29.379627, 126, homosexuality
104, -50.902462, -28.866730, 0, di
105, -41.279770, -35.895302, 127, come
106, -50.213501, -32.868504, 124, pride
107, -49.893955, -32.978710, 123, july
108, -50.522217, -29.334742, 123, street
109, -53.064541, -30.781111, 124, b
110, -45.452396, -33.706223, 100, hunthausen
111, -28.528032, -45.125858, 117, story
112, -43.362354, -34.746845, 123, early
113, -49.208492, -30.133795, 121, social
114, -37.037590, -39.122173, 123, bars
115, -41.777737, -36.214363, 121, work
116, -45.653294, -33.048321, 101, long
117, -43.625950, -34.706871, 118, home
118, -53.548046, -29.593292, 89, robert
119, -43.755337, -34.602032, 116, back
120, -42.383877, -35.754879, 118, eventually
121, -47.344334, -31.722918, 105, anderson
122, -49.910820, -29.521715, 113, since
123, -49.943008, -29.073042, 112, marriage
124, -38.108162, -38.540733, 103, mac
125, -36.330917, -40.231148, 117, help
126, -46.144978, -32.758202, 111, family
127, -43.839794, -34.538456, 114, used
128, -39.388805, -37.544483, 110, end
129, -50.353058, -29.523701, 112, rather
130, -38.681599, -37.815075, 81, four
131, -40.556999, -37.703663, 108, business
132, -52.774258, -30.772882, 110, sept
133, -42.443783, -35.251019, 111, going
134, -30.285145, -44.980717, 109, say
135, -44.163113, -34.249508, 111, instead
136, -41.440598, -36.488785, 111, found
137, -49.658875, -32.887272, 109, oct
138, -42.697132, -35.646160, 110, named
139, -42.245708, -35.756771, 101, day
140, -39.219101, -37.907097, 106, place
141, -52.997715, -30.932262, 109, nov
142, -39.695545, -37.579853, 108, young
143, -34.061844, -40.730755, 96, foundation
144, -44.880749, -33.766201, 106, enough
145, -25.123415, -47.580368, 108, interview
146, -42.425976, -35.448402, 106, make
147, -38.123169, -38.908348, 106, already
148, -46.444729, -32.466698, 103, american
149, -36.796268, -41.130623, 91, department
150, -36.076916, -40.432518, 105, change
151, -39.971176, -38.798309, 103, letter
152, -37.886646, -38.153687, 66, five
153, -46.407207, -32.573780, 102, others
154, -42.027443, -35.825367, 102, whether
155, -42.858028, -35.384701, 99, money
156, -37.708878, -39.179024, 102, next
157, -35.495304, -40.768841, 95, go
158, -52.272236, -29.431604, 61, com
159, -44.171741, -34.264595, 94, right
160, -46.136135, -32.634514, 97, committee
161, -37.665066, -39.097660, 99, left
162, -30.592478, -44.759731, 88, woman
163, -35.331585, -41.123241, 98, simply
164, -33.845379, -42.354153, 96, never
165, -32.011978, -45.506931, 93, district
166, -33.544842, -42.050995, 94, support
167, -23.094837, -48.734737, 95, apr
168, -36.240253, -40.021725, 90, night
169, -29.673716, -45.536945, 82, although
170, -33.279964, -42.058044, 88, mayor
171, -39.795895, -37.549023, 96, might
172, -24.517576, -51.719021, 96, counseling
173, -32.038784, -44.317581, 87, second
174, -39.890400, -36.288033, 93, press
175, -26.993399, -46.776360, 91, vote
176, -36.871441, -39.741356, 95, needed
177, -28.933874, -47.144299, 74, rhinehart
178, -24.231464, -49.342850, 83, known
179, -31.167025, -44.217175, 94, knew
180, -36.791630, -41.754955, 4, u
181, -23.221609, -50.944729, 93, really
182, -41.236099, -36.562416, 85, male
183, -33.825993, -40.990246, 94, advocate
184, -28.809961, -47.950657, 25, twenty
185, -30.418686, -46.029709, 91, chief
186, -39.774700, -37.340015, 91, heterosexual
187, -43.635239, -34.547592, 90, small
188, -33.917187, -42.158276, 93, decided
189, -34.808380, -41.981487, 87, murray
190, -36.434006, -39.999409, 90, together
191, -38.434750, -38.410568, 86, mudflat
192, -25.816883, -48.328243, 92, know
193, -36.167530, -40.097878, 90, good
194, -39.800163, -39.048424, 65, c
195, -28.620291, -48.073299, 91, months
196, -39.010647, -38.534126, 88, local
197, -33.893764, -42.399696, 91, moved
198, -26.418360, -48.498844, 90, finally
199, -32.202259, -42.937775, 79, uhlman
200, -46.048813, -32.893242, 90, james
201, -28.409895, -47.280300, 89, asked
202, -38.895271, -38.151363, 86, drag
203, -40.609226, -37.497963, 77, broadway
204, -46.252243, -32.769630, 85, book
205, -29.936548, -44.891212, 78, stonewall
206, -29.429914, -47.205692, 87, mental
207, -39.360546, -37.460468, 78, board
208, -29.261324, -45.973507, 85, quickly
209, -27.269270, -47.158779, 84, least
210, -40.210629, -37.155819, 84, away
211, -29.113384, -45.417366, 85, stories
212, -23.487139, -52.134083, 86, thirteen
213, -33.962246, -42.096012, 84, set
214, -37.954433, -39.651623, 86, george
215, -41.716919, -36.273178, 84, wrote
216, -34.661644, -41.879139, 85, thought
217, -36.933399, -39.762276, 85, started
218, -26.248003, -48.944298, 85, died
219, -36.421585, -40.275501, 82, several
220, -28.931677, -46.280197, 83, though
221, -27.258331, -46.992619, 80, point
222, -37.421654, -39.962944, 64, cotterill
223, -31.255136, -44.520752, 0, cers
224, -24.181345, -49.961189, 82, begun
225, -13.733629, -59.393837, 0, erent
226, -29.932676, -45.054691, 81, name
227, -37.480400, -38.994484, 80, making
228, -40.352779, -38.579575, 81, jan
229, -44.309265, -34.263546, 80, school
230, -40.566582, -38.610500, 76, aug
231, -24.675913, -49.533695, 80, campaign
232, -36.466824, -40.103889, 79, act
233, -19.268675, -53.420815, 69, dignity
234, -33.782173, -41.964046, 90, groups
235, -28.045576, -46.721188, 80, meeting
236, -41.980339, -35.910053, 80, often
237, -28.085888, -47.185345, 80, information
238, -25.015368, -49.241966, 78, take
239, -33.506493, -42.563583, 64, archbishop
240, -35.087646, -41.410908, 77, room
241, -35.540329, -40.857132, 78, little
242, -28.746838, -46.441170, 135, us
243, -4.465532, -59.781525, 77, project
244, -34.146919, -42.645260, 72, job
245, -27.552021, -47.164795, 77, important
246, -27.879595, -47.122425, 71, ever
247, -41.615398, -36.464035, 67, vatican
248, -26.298243, -48.459068, 77, got
249, -25.733709, -49.498253, 72, mcgonagle
250, -22.275789, -51.517593, 77, want
251, -36.397556, -41.393703, 74, hospital
252, -11.946884, -60.514908, 69, hundred
253, -28.485588, -44.626049, 65, parade
254, -33.719345, -42.603363, 79, citizens
255, -29.017546, -44.771599, 8, anti
256, -20.560606, -53.110001, 71, something
257, -24.966206, -48.551739, 72, downtown
258, -27.513412, -47.767437, 75, saying
259, -19.970829, -53.308811, 74, talk
260, -35.031704, -41.171322, 75, national
261, -37.010139, -39.883102, 71, government
262, -33.281631, -41.455311, 73, dec
263, -22.166512, -50.584953, 72, square
264, -29.556555, -45.851891, 75, con
265, -30.396412, -44.800583, 74, added
266, -23.694595, -50.149029, 71, virus
267, -23.821062, -51.086342, 72, almost
268, -38.349953, -38.862072, 74, david
269, -30.523024, -45.276794, 2, cer
270, -24.227037, -51.071026, 72, earlier
271, -27.604729, -48.066929, 73, according
272, -26.147951, -47.953606, 71, theater
273, -7.390887, -60.075748, 73, arrived
274, -19.386715, -53.675625, 71, chapter
275, -14.217828, -57.532494, 72, kind
276, -26.658592, -47.897587, 72, within
277, -23.026749, -52.197865, 71, discrimination
278, -30.718462, -44.633888, 71, sometimes
279, -28.123444, -46.726856, 68, children
280, -7.311095, -62.336479, 69, passed
281, -22.037348, -51.795399, 70, every
282, -24.278351, -50.856510, 67, month
283, -4.265083, -63.874287, 71, york
284, -11.875822, -60.296898, 29, thirty
285, -4.087622, -64.206787, 71, renton
286, -28.821836, -47.870338, 71, dollars
287, -24.179598, -49.618752, 71, role
288, -28.816593, -46.666943, 50, century
289, -22.154243, -51.847500, 69, st
290, -20.085571, -53.191692, 60, working
291, -23.343225, -49.876228, 70, noted
292, -24.983604, -49.109970, 70, order
293, -30.905981, -44.415794, 67, always
294, -17.024832, -54.567570, 69, avenue
295, -23.346087, -49.481178, 69, communication
296, -10.285634, -60.057301, 67, yet
297, -19.661060, -53.515129, 69, turned
298, -30.690001, -44.441849, 61, world
299, -12.161591, -59.072559, 69, put
300, -10.046893, -59.561596, 67, organization
301, -23.978947, -50.448559, 69, far
302, -24.025927, -50.343872, 68, took
303, -14.439387, -57.778645, 54, person
304, -25.592716, -49.155750, 68, around
305, -27.046244, -48.036640, 68, included
306, -18.404274, -56.595230, 68, sun
307, -20.946266, -54.814228, 66, western
308, -15.629889, -55.286198, 68, pioneer
309, -18.652166, -56.552238, 68, feb
310, -10.793836, -59.886032, 63, perhaps
311, -24.196232, -50.443817, 68, held
312, -40.548046, -37.083675, 67, jim
313, -23.169764, -51.565075, 65, hall
314, -14.248693, -58.596916, 56, tielsch
315, -17.226496, -56.266846, 67, issue
316, -38.366695, -38.987122, 57, v
317, -3.880539, -60.146816, 62, week
318, -5.738888, -61.270958, 53, estes
319, -13.554008, -58.260399, 0, ce
320, -23.443098, -49.798832, 65, says
321, -16.183359, -55.572525, 65, soon
322, -17.324518, -56.195076, 65, report
323, -14.829407, -57.187702, 65, helped
324, -21.071821, -54.824024, 65, special
325, -14.318699, -57.246811, 64, created
326, -26.789413, -48.028893, 58, let
327, -36.565128, -40.057716, 63, either
328, -26.427355, -48.161152, 62, call
329, 35.255733, 41.682858, 64, heterosexuals
330, -27.297932, -47.943470, 64, force
331, -24.618433, -50.559639, 43, six
332, -29.478167, -45.625080, 64, tried
333, -35.535503, -40.808395, 63, use
334, -18.111877, -54.832256, 61, decision
335, -17.894720, -54.858372, 61, age
336, -22.389420, -51.862099, 35, class
337, -20.294685, -53.163822, 63, housing
338, -25.238903, -50.062584, 60, thousand
339, -17.375475, -55.151676, 63, agreed
340, -5.394319, -60.866394, 62, problem
341, -20.141279, -53.189663, 60, especially
342, -11.759845, -58.754066, 62, move
343, 0.193779, -61.218552, 63, weeks
344, -25.130508, -49.400440, 57, hand
345, -27.813604, -47.653950, 60, tavern
346, -10.369805, -60.252121, 56, best
347, -23.787928, -50.415237, 58, vaudeville
348, -9.603264, -60.304760, 62, felt
349, -20.354597, -52.732567, 62, notes
350, -12.103106, -59.142689, 61, days
351, -21.415190, -51.211838, 61, progress
352, -18.334854, -54.814827, 61, legal
353, -13.419274, -57.308983, 61, argued
354, 1.332126, -62.251812, 61, find
355, 3.481205, -62.842831, 61, charlie
356, -19.668289, -52.728249, 60, pages
357, 2.057051, -63.376637, 58, tacoma
358, -6.001028, -61.040928, 59, member
359, -7.156650, -62.784328, 53, legislature
360, -34.460278, -41.927387, 49, freeman
361, -19.193842, -53.854248, 59, met
362, -13.344368, -57.566521, 59, particular
363, -7.104421, -61.364311, 59, happened
364, -23.442074, -50.536133, 59, club
365, -15.027818, -57.137901, 58, sent
366, -0.231021, -61.919312, 58, politics
367, -1.074977, -63.473637, 59, laws
368, -9.791638, -60.584953, 56, late
369, -31.059999, -44.365479, 57, mentioned
370, -20.010151, -53.291382, 55, power
371, -24.007002, -48.987316, 58, published
372, -19.007587, -54.147369, 57, without
373, -19.032619, -53.948505, 58, along
