id, x, y, freq, label
0, -62.949451, -3.367392, 1815, seattle
1, -65.829781, -3.467627, 838, indian
2, -65.537224, -6.626210, 590, people
3, -66.926056, -2.381360, 530, native
4, -66.428337, -3.382717, 521, urban
5, -66.320244, -1.472791, 494, city
6, -65.362801, -2.230403, 431, indians
7, -64.787186, -6.875287, 323, place
8, -65.850830, -1.568822, 414, new
9, -52.573299, -10.694164, 389, e
10, -65.032211, -5.665440, 362, indigenous
11, -65.721336, -2.441104, 327, one
12, -60.951923, -8.735177, 311, washington
13, -62.773224, -6.210312, 286, sound
14, -62.567303, -4.612533, 281, history
15, -59.556660, -8.950949, 289, press
16, -66.144348, -2.591038, 283, duwamish
17, -59.862247, -8.850265, 286, university
18, -52.543335, -10.748886, 253, n
19, -62.714947, -12.494199, 260, puget
20, -65.858490, -4.275309, 250, also
21, -62.236355, -4.278051, 241, american
22, -66.232346, -3.419801, 223, would
23, -65.934677, -2.047487, 225, like
24, -52.377666, -11.024740, 223, r
25, -66.327980, -4.046950, 199, many
26, -60.626949, -10.844844, 150, story
27, -62.079025, -3.961194, 181, see
28, -52.354153, -11.062220, 179, h
29, -65.921310, -1.201125, 149, denny
30, -51.597488, -12.247710, 60, p
31, -64.807236, -7.084321, 136, women
32, -66.094757, -4.384076, 165, places
33, -63.098911, -11.020718, 128, stories
34, -52.297668, -11.150555, 163, c
35, -62.632679, -5.122162, 162, west
36, -65.623863, -3.467484, 155, white
37, -64.885208, -3.984048, 141, first
38, -65.573982, -4.888776, 150, local
39, -52.267872, -11.201236, 136, l
40, -59.645947, -12.677642, 122, chief
41, -59.632656, -9.587347, 142, times
42, -63.896881, -9.709140, 141, lake
43, -63.936558, -4.417712, 130, name
44, -65.004044, -4.176915, 134, could
45, -62.494076, -8.681314, 134, life
46, -66.032211, -2.717481, 122, town
47, -62.707863, -8.237158, 131, north
48, -63.296982, -7.126489, 130, men
49, -63.929047, -3.527652, 118, old
50, -62.886993, -8.809904, 127, even
51, -64.231895, -4.897385, 132, years
52, -52.270088, -11.195797, 122, g
53, -65.277451, -3.360235, 125, two
54, -65.383041, -4.779572, 125, point
55, -62.382423, -3.932256, 126, john
56, -49.844288, -21.589493, 107, york
57, -63.784122, -7.629606, 103, century
58, -59.696465, -10.635560, 116, pioneer
59, -64.710991, -6.518862, 117, river
60, -60.293583, -12.397657, 116, northwest
61, -64.923386, -2.350782, 117, land
62, -64.328896, -5.216840, 112, little
63, -61.013042, -10.793087, 102, world
64, -62.878757, -8.095418, 113, among
65, -61.067036, -12.882852, 112, past
66, -64.464165, -4.126731, 111, way
67, -63.935013, -3.702071, 107, ing
68, -62.714447, -9.136428, 107, coast
69, -61.740974, -11.918134, 109, around
70, -62.266380, -8.173106, 107, example
71, -64.340523, -5.838283, 104, made
72, -64.572670, -5.264967, 99, house
73, -51.367908, -12.594421, 96, w
74, -64.021217, -6.780784, 103, came
75, -63.254391, -9.030156, 99, along
76, -60.677532, -10.770650, 98, site
77, -62.138748, -9.653866, 91, man
78, -61.224003, -13.325773, 97, landscape
79, -61.792343, -9.865778, 97, bay
80, -51.866764, -11.820751, 69, u
81, -61.111618, -13.276861, 96, part
82, -61.030251, -11.287218, 94, time
83, -60.227894, -14.634831, 94, come
84, -61.340603, -14.131750, 95, seat
85, -61.285393, -11.136744, 95, home
86, -59.839104, -9.778477, 95, may
87, -61.661747, -12.426653, 94, found
88, -62.936764, -7.932573, 90, salmon
89, -61.089447, -11.832897, 84, well
90, -61.263420, -12.576273, 92, settlers
91, -57.472775, -17.615894, 86, war
92, -56.328545, -20.125360, 93, community
93, -55.342552, -18.922674, 90, early
94, -63.898495, -5.499290, 86, great
95, -58.967934, -17.989370, 67, tle
96, -61.284405, -10.453729, 67, alki
97, -60.740551, -13.875673, 89, used
98, -57.694313, -16.239471, 60, day
99, -56.323586, -18.360546, 86, road
100, -57.276279, -15.644607, 85, totem
101, -57.324043, -17.674574, 80, pacific
102, -61.558952, -11.952624, 82, still
103, -55.882412, -21.202085, 84, skid
104, -58.396221, -16.597166, 81, known
105, -60.374855, -10.625964, 79, water
106, -55.295036, -18.643753, 80, columbia
107, -51.164162, -25.247898, 82, center
108, -60.024235, -11.919361, 80, often
109, -55.041466, -21.581337, 79, fact
110, -59.081631, -15.668907, 79, called
111, -58.874851, -13.637847, 68, seeathl
